Metric,ache_mean,ache_std,alllhrc_mean,alllhrc_std,Delta_alllhrc_minus_ache
Backbone_RMSD_last20ns_(nm),0.1897,0.0090,0.1916,0.0092,0.0019
Peptide_self-fit_RMSD_last20ns_(nm),,,0.2518,0.0136,
SASA_last20ns_(nm2),212.2451,2.8934,217.4675,2.4940,5.2224
Rg_last20ns_(nm),2.3045,0.0056,2.3107,0.0052,0.0062
AChE-Peptide_Hbonds_last20ns_(count),,,2.1888,0.8046,
Backbone_RMSF_per-residue_mean_(nm),0.0835,0.0659,0.0876,0.0581,0.0041
RDF_peak_g(r),,,213.3,,
DSSP_α-helix_last20ns_(%),33.44,1.07,33.66,1.05,0.21
DSSP_β-sheet_last20ns_(%),17.35,0.63,16.76,0.54,-0.59
DSSP_Turn_last20ns_(%),13.35,1.22,12.57,1.13,-0.79
DSSP_Bend_last20ns_(%),13.02,0.77,12.83,0.80,-0.19
DSSP_Coil/loop_last20ns_(%),22.83,0.81,24.18,0.65,1.35
