Metric_Name,Target_System,Last_20ns_Equil_Mean_Std,Full_100ns_Mean_Std,Min_Value,Max_Value,Scientific_Assessment
1_Backbone_RMSD_(nm),AChE,0.1897 ± 0.0090,0.1513 ± 0.0296,0.0000,0.2124,STABLE
2_Backbone_RMSF_Avg_(nm),AChE,0.0835 ± 0.0659,0.0835 ± 0.0659,0.0342,0.7230,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)"
3_Solvent_Accessible_Surface_Area_SASA_(nm2),AChE,212.2451 ± 2.8934,212.8530 ± 3.2511,201.6450,225.3190,STABLE
6_DSSP_Helix_Content_(%),AChE,33.4448 ± 1.0690,33.9882 ± 1.2069,29.1100,38.1900,DSSP_PERCENT (n=5001 frames)
6_DSSP_Sheet_Content_(%),AChE,17.3535 ± 0.6265,17.3358 ± 0.7028,14.3700,20.0400,DSSP_PERCENT (n=5001 frames)
6_DSSP_Turn_Content_(%),AChE,13.3539 ± 1.2153,13.3439 ± 1.2288,9.0700,17.9600,DSSP_PERCENT (n=5001 frames)
6_DSSP_Bend_Content_(%),AChE,13.0179 ± 0.7687,12.8956 ± 0.8464,10.2100,16.6400,DSSP_PERCENT (n=5001 frames)
6_DSSP_Coil_Content_(%),AChE,22.8298 ± 0.8074,22.4366 ± 0.8540,19.4700,25.5200,DSSP_PERCENT (n=5001 frames)
6p_Peptide_DSSP_Helix_(%),Peptide,54.5004 ± 9.4622,20.0923 ± 26.9474,0.0000,57.1400,PEPTIDE_DSSP_SUPPLEMENT
6p_Peptide_DSSP_Sheet_(%),Peptide,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000,0.0000,PEPTIDE_DSSP_SUPPLEMENT
6p_Peptide_DSSP_Coil_(%),Peptide,43.1016 ± 1.8461,42.9539 ± 1.1563,42.8500,57.1400,PEPTIDE_DSSP_SUPPLEMENT
4_Hydrogen_Bonds_(Count),AChE,389.8641 ± 9.6053,393.4833 ± 10.1002,361.0000,427.0000,APO_CONTROL (intra-AChE only; no AChE-peptide H-bonds)
8_Radius_of_Gyration_Rg_(nm),AChE,2.3045 ± 0.0056,2.3045 ± 0.0066,2.2821,2.3260,STABLE
