Metric_Name,Target_System,Last_20ns_Equil_Mean_Std,Full_100ns_Mean_Std,Min_Value,Max_Value,Scientific_Assessment
1_Backbone_RMSD_(nm),Complex,0.1916 ± 0.0092,0.1667 ± 0.0225,0.0000,0.2202,STABLE
1_Backbone_RMSD_(nm),AChE,0.1883 ± 0.0093,0.1653 ± 0.0216,0.0000,0.2169,TABLE_ONLY (AChE part of complex; drawn in compare_* figures)
1_Backbone_RMSD_(nm),Peptide,0.2518 ± 0.0136,0.1632 ± 0.0867,0.0000,0.2990,TABLE_ONLY (see peptide_rmsd_jump_diagnosis.txt; not on fig0)
1c_Ligand_RMSD_fit_to_AChE_(nm),Peptide,0.3627 ± 0.0326,0.2390 ± 0.1017,0.0000,0.4559,LIGAND_POSE (table only; not drawn on overview)
2_Backbone_RMSF_Avg_(nm),Complex,0.0876 ± 0.0581,0.0876 ± 0.0581,0.0331,0.6031,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)"
2_Backbone_RMSF_Avg_(nm),AChE,0.0865 ± 0.0573,0.0865 ± 0.0573,0.0332,0.6025,TABLE_ONLY (AChE part of complex; drawn in compare_* figures)
2_Backbone_RMSF_Avg_(nm),Peptide,0.0911 ± 0.0538,0.0911 ± 0.0538,0.0426,0.2077,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)"
5_RDF_First_Peak_g(r),Complex,213.3189 ± 1.2200,213.3189 ± 0.0000,0.0000,213.3189,Peak at r=1.22 nm
3_Solvent_Accessible_Surface_Area_SASA_(nm2),Complex,217.4675 ± 2.4940,214.7188 ± 3.3750,201.1800,224.6480,STABLE
3_Solvent_Accessible_Surface_Area_SASA_(nm2),AChE,221.5958 ± 2.5292,219.4247 ± 3.1825,207.2990,229.0740,TABLE_ONLY (AChE part of complex; drawn in compare_* figures)
3_Solvent_Accessible_Surface_Area_SASA_(nm2),Peptide,11.5142 ± 0.3200,11.2268 ± 0.5497,9.5160,12.8740,TABLE_ONLY (peptide SASA; complex-only curves on figure)
6_DSSP_Helix_Content_(%),Complex,33.6574 ± 1.0475,34.2799 ± 1.0858,30.0400,37.6900,DSSP_PERCENT (n=5001 frames)
6_DSSP_Sheet_Content_(%),Complex,16.7640 ± 0.5409,16.9825 ± 0.6594,13.8100,19.0300,DSSP_PERCENT (n=5001 frames)
6_DSSP_Turn_Content_(%),Complex,12.5679 ± 1.1310,12.3126 ± 1.1814,8.4000,16.6000,DSSP_PERCENT (n=5001 frames)
6_DSSP_Bend_Content_(%),Complex,12.8289 ± 0.7951,12.8416 ± 0.8738,9.8900,16.7900,DSSP_PERCENT (n=5001 frames)
6_DSSP_Coil_Content_(%),Complex,24.1818 ± 0.6528,23.5835 ± 0.9054,20.7100,26.8600,DSSP_PERCENT (n=5001 frames)
6p_Peptide_DSSP_Helix_(%),Peptide,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000,0.0000,PEPTIDE_DSSP_SUPPLEMENT
6p_Peptide_DSSP_Sheet_(%),Peptide,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000,0.0000,PEPTIDE_DSSP_SUPPLEMENT
6p_Peptide_DSSP_Coil_(%),Peptide,97.6519 ± 5.8020,80.5256 ± 16.1760,50.0000,100.0000,PEPTIDE_DSSP_SUPPLEMENT
7_Intermolecular_Contact_Pairs_(count),Complex,7.0000 ± 0.0000,7.0000 ± 0.0000,7.0000,7.0000,7 contact pairs identified
4_Hydrogen_Bonds_(Count),Complex,2.1888 ± 0.8046,3.8820 ± 1.8110,0.0000,11.0000,STABLE
4_Hydrogen_Bonds_(Count),Peptide,1.1289 ± 0.8605,1.4703 ± 0.9529,0.0000,5.0000,STABLE
4_Hydrogen_Bonds_(Count),AChE,394.2997 ± 9.4416,393.6001 ± 10.0801,358.0000,428.0000,TABLE_ONLY (intra-AChE; complex-focused figures only)
8_Radius_of_Gyration_Rg_(nm),Complex,2.3107 ± 0.0052,2.3040 ± 0.0080,2.2779,2.3280,STABLE
8_Radius_of_Gyration_Rg_(nm),AChE,2.3198 ± 0.0053,2.3141 ± 0.0076,2.2887,2.3377,STABLE
