system,metric,mean,std,full_traj_mean,full_traj_std,min,max,status,n_points
Complex,1_Backbone_RMSD_(nm),0.19161963386613387,0.009177993604274409,0.1666940704259148,0.02249834289077425,6e-07,0.2202411,STABLE,1001
AChE,1_Backbone_RMSD_(nm),0.1883167964035964,0.009258239791085945,0.16527816060787842,0.02155282979657569,6e-07,0.2169023,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),1001
Peptide,1_Backbone_RMSD_(nm),0.25179436943056943,0.013635208174929516,0.16316586300739852,0.08665192587873848,4e-07,0.2989687,TABLE_ONLY (see peptide_rmsd_jump_diagnosis.txt; not on fig0),1001
Peptide,1c_Ligand_RMSD_fit_to_AChE_(nm),0.3626525476523476,0.03262073243861328,0.23901726972605478,0.10169252414814951,6e-07,0.4558797,LIGAND_POSE (table only; not drawn on overview),1001
Complex,2_Backbone_RMSF_Avg_(nm),0.08756778398510241,0.0580938961500565,0.08756778398510241,0.0580938961500565,0.0331,0.6031,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",537
AChE,2_Backbone_RMSF_Avg_(nm),0.08649207547169811,0.057330026685563744,0.08649207547169811,0.057330026685563744,0.0332,0.6025,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),530
Peptide,2_Backbone_RMSF_Avg_(nm),0.09105714285714285,0.05381167336625196,0.09105714285714285,0.05381167336625196,0.0426,0.2077,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",7
Complex,5_RDF_First_Peak_g(r),213.318939,1.22,213.318939,0.0,0.0,213.318939,Peak at r=1.22 nm,193
Complex,3_Solvent_Accessible_Surface_Area_SASA_(nm2),217.4674545454545,2.493985374091399,214.71876704659067,3.3749502946149996,201.18,224.648,STABLE,1001
AChE,3_Solvent_Accessible_Surface_Area_SASA_(nm2),221.5957952047952,2.5292238060355547,219.42470185962804,3.1824622084943175,207.299,229.074,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),1001
Peptide,3_Solvent_Accessible_Surface_Area_SASA_(nm2),11.514225774225775,0.32000479836250123,11.22675304939012,0.54967038086766,9.516,12.874,TABLE_ONLY (peptide SASA; complex-only curves on figure),1001
Complex,6_DSSP_Helix_Content_(%),33.65741258741258,1.0474993072080758,34.27988602279543,1.085835478793449,30.04,37.69,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Sheet_Content_(%),16.764025974025976,0.5408625290447424,16.98245950809838,0.6593666882775299,13.81,19.03,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Turn_Content_(%),12.567852147852149,1.1310305398696723,12.31258148370326,1.1813568785972672,8.4,16.6,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Bend_Content_(%),12.82889110889111,0.7950689713042943,12.841591681663667,0.873827618036184,9.89,16.79,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Coil_Content_(%),24.181818181818183,0.6527856393251078,23.58348130373925,0.9053612859518444,20.709999999999994,26.860000000000014,DSSP_PERCENT (n=5001 frames),5001
Peptide,6p_Peptide_DSSP_Helix_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Sheet_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Coil_(%),97.65187812187813,5.801994904266193,80.52563887222554,16.176032807730103,50.0,100.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Complex,7_Intermolecular_Contact_Pairs_(count),7.0,0.0,7.0,0.0,7.0,7.0,7 contact pairs identified,7
Complex,4_Hydrogen_Bonds_(Count),2.1888111888111887,0.8045586897888085,3.882023595280944,1.8109883445906145,0.0,11.0,STABLE,1001
Peptide,4_Hydrogen_Bonds_(Count),1.1288711288711288,0.8604508262391388,1.4703059388122375,0.9528735941260748,0.0,5.0,STABLE,1001
AChE,4_Hydrogen_Bonds_(Count),394.2997002997003,9.441614793566306,393.6000799840032,10.080120633881348,358.0,428.0,TABLE_ONLY (intra-AChE; complex-focused figures only),1001
Complex,8_Radius_of_Gyration_Rg_(nm),2.3107389450549447,0.005188407459903087,2.30403624655069,0.008010910299148313,2.277856,2.328003,STABLE,1001
AChE,8_Radius_of_Gyration_Rg_(nm),2.3198333456543456,0.005273457280608586,2.314061578884223,0.007572759348706793,2.28867,2.337682,STABLE,1001
