Metric_Name,Target_System,Last_20ns_Equil_Mean_Std,Full_100ns_Mean_Std,Min_Value,Max_Value,Scientific_Assessment
1_Backbone_RMSD_(nm),Complex,0.1640 ± 0.0080,0.1445 ± 0.0174,0.0000,0.1982,STABLE
1_Backbone_RMSD_(nm),AChE,0.1609 ± 0.0083,0.1404 ± 0.0186,0.0000,0.1956,TABLE_ONLY (AChE part of complex; drawn in compare_* figures)
1_Backbone_RMSD_(nm),Peptide,0.1752 ± 0.0111,0.1626 ± 0.0268,0.0000,0.2311,TABLE_ONLY (see peptide_rmsd_jump_diagnosis.txt; not on fig0)
2_Backbone_RMSF_Avg_(nm),Complex,0.0778 ± 0.0504,0.0778 ± 0.0504,0.0341,0.5735,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)"
2_Backbone_RMSF_Avg_(nm),AChE,0.0767 ± 0.0483,0.0767 ± 0.0483,0.0339,0.5726,TABLE_ONLY (AChE part of complex; drawn in compare_* figures)
2_Backbone_RMSF_Avg_(nm),Peptide,0.0819 ± 0.0199,0.0819 ± 0.0199,0.0571,0.1046,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)"
5_RDF_First_Peak_g(r),Complex,148.7517 ± 1.8000,148.7517 ± 0.0000,0.0000,148.7517,Peak at r=1.80 nm
3_Solvent_Accessible_Surface_Area_SASA_(nm2),Complex,213.8758 ± 2.3554,213.4705 ± 2.7391,203.4900,225.2870,STABLE
3_Solvent_Accessible_Surface_Area_SASA_(nm2),AChE,216.7588 ± 2.4302,216.3141 ± 2.5544,206.8240,227.5840,TABLE_ONLY (AChE part of complex; drawn in compare_* figures)
3_Solvent_Accessible_Surface_Area_SASA_(nm2),Peptide,11.9120 ± 0.3725,11.8250 ± 0.4220,10.5560,13.2340,TABLE_ONLY (peptide SASA; complex-only curves on figure)
6_DSSP_Helix_Content_(%),Complex,32.9229 ± 1.1500,33.7772 ± 1.2525,29.2900,37.5000,DSSP_PERCENT (n=5001 frames)
6_DSSP_Sheet_Content_(%),Complex,17.5162 ± 0.5979,17.1535 ± 0.6673,14.7400,19.2200,DSSP_PERCENT (n=5001 frames)
6_DSSP_Turn_Content_(%),Complex,13.4416 ± 1.2475,13.0182 ± 1.2660,8.4000,17.9100,DSSP_PERCENT (n=5001 frames)
6_DSSP_Bend_Content_(%),Complex,12.3922 ± 0.7826,12.3736 ± 0.7972,8.9600,15.8600,DSSP_PERCENT (n=5001 frames)
6_DSSP_Coil_Content_(%),Complex,23.7271 ± 0.7164,23.6775 ± 0.7207,21.0800,26.3100,DSSP_PERCENT (n=5001 frames)
6p_Peptide_DSSP_Helix_(%),Peptide,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000,0.0000,PEPTIDE_DSSP_SUPPLEMENT
6p_Peptide_DSSP_Sheet_(%),Peptide,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000,0.0000,PEPTIDE_DSSP_SUPPLEMENT
6p_Peptide_DSSP_Coil_(%),Peptide,100.0000 ± 0.0000,99.9467 ± 0.9415,83.3300,100.0000,PEPTIDE_DSSP_SUPPLEMENT
7_Intermolecular_Contact_Pairs_(count),Complex,7.0000 ± 0.0000,7.0000 ± 0.0000,7.0000,7.0000,7 contact pairs identified
4_Hydrogen_Bonds_(Count),Complex,7.0300 ± 1.2771,7.0268 ± 1.5595,2.0000,12.0000,STABLE
4_Hydrogen_Bonds_(Count),Peptide,1.8941 ± 0.8407,2.1250 ± 0.8351,0.0000,5.0000,STABLE
4_Hydrogen_Bonds_(Count),AChE,390.5495 ± 8.9214,394.0322 ± 9.5029,361.0000,428.0000,TABLE_ONLY (intra-AChE; complex-focused figures only)
8_Radius_of_Gyration_Rg_(nm),Complex,2.2967 ± 0.0047,2.2976 ± 0.0047,2.2818,2.3139,STABLE
8_Radius_of_Gyration_Rg_(nm),AChE,2.3020 ± 0.0048,2.3031 ± 0.0047,2.2879,2.3192,STABLE
