system,metric,mean,std,full_traj_mean,full_traj_std,min,max,status,n_points
Complex,1_Backbone_RMSD_(nm),0.16401118191808192,0.008042182725077986,0.1445342723655269,0.01741639969505694,6e-07,0.1981666,STABLE,1001
AChE,1_Backbone_RMSD_(nm),0.16085685684315681,0.008300205270738527,0.14038794059188162,0.01856711166486268,6e-07,0.1955894,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),1001
Peptide,1_Backbone_RMSD_(nm),0.1751999131868132,0.011141452599018936,0.1625791528894221,0.026761759378378307,4e-07,0.2310581,TABLE_ONLY (see peptide_rmsd_jump_diagnosis.txt; not on fig0),1001
Complex,2_Backbone_RMSF_Avg_(nm),0.07783482309124767,0.050431772641920225,0.07783482309124767,0.050431772641920225,0.0341,0.5735,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",537
AChE,2_Backbone_RMSF_Avg_(nm),0.07672999999999999,0.04829103743746233,0.07672999999999999,0.04829103743746233,0.0339,0.5726,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),530
Peptide,2_Backbone_RMSF_Avg_(nm),0.08188571428571427,0.019924476452463234,0.08188571428571427,0.019924476452463234,0.0571,0.1046,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",7
Complex,5_RDF_First_Peak_g(r),148.751709,1.8,148.751709,0.0,0.0,148.751709,Peak at r=1.80 nm,193
Complex,3_Solvent_Accessible_Surface_Area_SASA_(nm2),213.87575024975024,2.355427118711688,213.47045030993803,2.7390580282973955,203.49,225.287,STABLE,1001
AChE,3_Solvent_Accessible_Surface_Area_SASA_(nm2),216.75875324675323,2.430236084427177,216.31405458908216,2.5543872585063205,206.824,227.584,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),1001
Peptide,3_Solvent_Accessible_Surface_Area_SASA_(nm2),11.912026973026972,0.37252621420744053,11.825001799640072,0.4220365071848183,10.556,13.234,TABLE_ONLY (peptide SASA; complex-only curves on figure),1001
Complex,6_DSSP_Helix_Content_(%),32.92287712287712,1.150009353825487,33.77724655068987,1.2524643376162852,29.29,37.5,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Sheet_Content_(%),17.516213786213783,0.5978991137723401,17.15345330933813,0.6672749150609105,14.74,19.220000000000002,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Turn_Content_(%),13.441588411588414,1.2475095889112733,13.018232353529294,1.2660297922249062,8.4,17.91,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Bend_Content_(%),12.392247752247751,0.7826058027879954,12.37359928014397,0.7972303071205219,8.959999999999999,15.86,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Coil_Content_(%),23.727072927072925,0.7163709399998879,23.677468506298737,0.7206832801293137,21.080000000000002,26.309999999999995,DSSP_PERCENT (n=5001 frames),5001
Peptide,6p_Peptide_DSSP_Helix_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Sheet_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Coil_(%),100.0,0.0,99.94666666666666,0.9414879004356175,83.33,100.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Complex,7_Intermolecular_Contact_Pairs_(count),7.0,0.0,7.0,0.0,7.0,7.0,7 contact pairs identified,7
Complex,4_Hydrogen_Bonds_(Count),7.02997002997003,1.2771456060688187,7.026794641071786,1.5595133547421571,2.0,12.0,STABLE,1001
Peptide,4_Hydrogen_Bonds_(Count),1.8941058941058941,0.8406992475167442,2.1249750049990004,0.8350916862088581,0.0,5.0,STABLE,1001
AChE,4_Hydrogen_Bonds_(Count),390.54945054945057,8.921423776382456,394.0321935612877,9.502881845383952,361.0,428.0,TABLE_ONLY (intra-AChE; complex-focused figures only),1001
Complex,8_Radius_of_Gyration_Rg_(nm),2.296717227772228,0.004665521289423928,2.297560226354729,0.0047074865648616855,2.281778,2.313868,STABLE,1001
AChE,8_Radius_of_Gyration_Rg_(nm),2.3020348321678323,0.004794185464894346,2.303069379524095,0.004717653840621702,2.287866,2.319185,STABLE,1001
