metric,AChE,Complex,Peptide
1_Backbone_RMSD_(nm),0.16085685684315681,0.16401118191808192,0.1751999131868132
2_Backbone_RMSF_Avg_(nm),0.07672999999999999,0.07783482309124767,0.08188571428571427
3_Solvent_Accessible_Surface_Area_SASA_(nm2),216.75875324675323,213.87575024975024,11.912026973026972
4_Hydrogen_Bonds_(Count),390.54945054945057,7.02997002997003,1.8941058941058941
5_RDF_First_Peak_g(r),-,148.751709,-
6_DSSP_Bend_Content_(%),-,12.392247752247751,-
6_DSSP_Coil_Content_(%),-,23.727072927072925,-
6_DSSP_Helix_Content_(%),-,32.92287712287712,-
6_DSSP_Sheet_Content_(%),-,17.516213786213783,-
6_DSSP_Turn_Content_(%),-,13.441588411588414,-
6p_Peptide_DSSP_Coil_(%),-,-,100.0
6p_Peptide_DSSP_Helix_(%),-,-,0.0
6p_Peptide_DSSP_Sheet_(%),-,-,0.0
7_Intermolecular_Contact_Pairs_(count),-,7.0,-
8_Radius_of_Gyration_Rg_(nm),2.3020348321678323,2.296717227772228,-
