metric,AChE,Complex,Peptide
1_Backbone_RMSD_(nm),0.1606519617382617,0.16247991418581417,0.09112428871128869
2_Backbone_RMSF_Avg_(nm),0.07659264150943396,0.07711396648044694,0.05319999999999999
3_Solvent_Accessible_Surface_Area_SASA_(nm2),214.0807232767233,209.71136963036963,12.985306693306693
4_Hydrogen_Bonds_(Count),401.68631368631367,2.932067932067932,0.6503496503496503
5_RDF_First_Peak_g(r),-,209.791016,-
6_DSSP_Bend_Content_(%),-,12.880889110889111,-
6_DSSP_Coil_Content_(%),-,23.977742257742257,-
6_DSSP_Helix_Content_(%),-,33.31166833166833,-
6_DSSP_Sheet_Content_(%),-,17.017692307692307,-
6_DSSP_Turn_Content_(%),-,12.812007992007992,-
6p_Peptide_DSSP_Coil_(%),-,-,97.285984015984
6p_Peptide_DSSP_Helix_(%),-,-,0.0
6p_Peptide_DSSP_Sheet_(%),-,-,0.0
7_Intermolecular_Contact_Pairs_(count),-,7.0,-
8_Radius_of_Gyration_Rg_(nm),2.310468505494505,2.3028036103896103,-
