metric,AChE,Peptide
1_Backbone_RMSD_(nm),0.15619182367632367,-
2_Backbone_RMSF_Avg_(nm),0.07828943396226413,-
3_Solvent_Accessible_Surface_Area_SASA_(nm2),212.40531868131868,-
4_Hydrogen_Bonds_(Count),391.003996003996,-
6_DSSP_Bend_Content_(%),13.704275724275725,-
6_DSSP_Coil_Content_(%),22.967762237762237,-
6_DSSP_Helix_Content_(%),33.59398601398602,-
6_DSSP_Sheet_Content_(%),17.178321678321677,-
6_DSSP_Turn_Content_(%),12.555654345654345,-
6p_Peptide_DSSP_Coil_(%),-,44.371578421578434
6p_Peptide_DSSP_Helix_(%),-,42.62703296703295
6p_Peptide_DSSP_Sheet_(%),-,0.0
8_Radius_of_Gyration_Rg_(nm),2.296729220779221,-
