time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
0.500 0.3316 0.1372 0.1223 0.2142 0.1711 0.0217 0.0019 50
1.500 0.3341 0.1364 0.1229 0.2146 0.1704 0.0197 0.0019 50
2.500 0.3313 0.1322 0.1301 0.2150 0.1682 0.0215 0.0019 50
3.500 0.3303 0.1395 0.1264 0.2116 0.1719 0.0184 0.0019 50
4.500 0.3355 0.1309 0.1268 0.2112 0.1739 0.0198 0.0019 50
5.500 0.3377 0.1269 0.1278 0.2107 0.1704 0.0247 0.0019 50
6.500 0.3374 0.1288 0.1262 0.2134 0.1704 0.0218 0.0019 50
7.500 0.3412 0.1301 0.1239 0.2134 0.1697 0.0199 0.0019 50
8.500 0.3392 0.1268 0.1256 0.2125 0.1724 0.0218 0.0019 50
9.500 0.3415 0.1282 0.1253 0.2146 0.1661 0.0224 0.0019 50
10.500 0.3366 0.1307 0.1241 0.2150 0.1710 0.0207 0.0019 50
11.500 0.3384 0.1345 0.1197 0.2132 0.1701 0.0222 0.0019 50
12.500 0.3388 0.1363 0.1177 0.2088 0.1738 0.0228 0.0019 50
13.500 0.3386 0.1329 0.1213 0.2105 0.1724 0.0223 0.0019 50
14.500 0.3394 0.1340 0.1226 0.2114 0.1703 0.0203 0.0019 50
15.500 0.3350 0.1354 0.1235 0.2138 0.1708 0.0196 0.0019 50
16.500 0.3376 0.1349 0.1233 0.2088 0.1715 0.0220 0.0019 50
17.500 0.3400 0.1332 0.1203 0.2053 0.1737 0.0256 0.0019 50
18.500 0.3433 0.1300 0.1180 0.2057 0.1738 0.0272 0.0019 50
19.500 0.3449 0.1260 0.1219 0.2099 0.1707 0.0249 0.0019 50
20.500 0.3429 0.1269 0.1234 0.2068 0.1729 0.0252 0.0019 50
21.500 0.3425 0.1310 0.1217 0.2043 0.1747 0.0239 0.0019 50
22.500 0.3455 0.1271 0.1200 0.2072 0.1744 0.0239 0.0019 50
23.500 0.3487 0.1244 0.1169 0.2082 0.1759 0.0241 0.0019 50
24.500 0.3441 0.1265 0.1211 0.2091 0.1723 0.0250 0.0019 50
25.500 0.3418 0.1267 0.1215 0.2126 0.1743 0.0213 0.0019 50
26.500 0.3369 0.1334 0.1182 0.2145 0.1727 0.0224 0.0019 50
27.500 0.3350 0.1328 0.1211 0.2158 0.1693 0.0241 0.0019 50
28.500 0.3325 0.1343 0.1239 0.2148 0.1662 0.0265 0.0019 50
29.500 0.3394 0.1252 0.1236 0.2166 0.1678 0.0255 0.0019 50
30.500 0.3406 0.1222 0.1301 0.2139 0.1684 0.0229 0.0019 50
31.500 0.3441 0.1247 0.1234 0.2131 0.1706 0.0222 0.0019 50
32.500 0.3414 0.1255 0.1250 0.2130 0.1709 0.0224 0.0019 50
33.500 0.3413 0.1210 0.1276 0.2123 0.1702 0.0257 0.0019 50
34.500 0.3397 0.1179 0.1306 0.2136 0.1722 0.0241 0.0019 50
35.500 0.3335 0.1226 0.1305 0.2133 0.1754 0.0228 0.0019 50
36.500 0.3311 0.1220 0.1356 0.2128 0.1740 0.0226 0.0019 50
37.500 0.3358 0.1187 0.1321 0.2165 0.1734 0.0216 0.0019 50
38.500 0.3327 0.1215 0.1350 0.2163 0.1716 0.0209 0.0019 50
39.500 0.3289 0.1282 0.1329 0.2166 0.1710 0.0205 0.0019 50
40.500 0.3305 0.1253 0.1335 0.2168 0.1705 0.0216 0.0019 50
41.500 0.3353 0.1217 0.1277 0.2171 0.1752 0.0211 0.0019 50
42.500 0.3451 0.1144 0.1295 0.2148 0.1747 0.0196 0.0019 50
43.500 0.3437 0.1169 0.1322 0.2208 0.1635 0.0210 0.0019 50
44.500 0.3379 0.1181 0.1362 0.2238 0.1626 0.0195 0.0019 50
45.500 0.3327 0.1230 0.1374 0.2226 0.1610 0.0215 0.0019 50
46.500 0.3235 0.1308 0.1366 0.2249 0.1620 0.0203 0.0019 50
47.500 0.3212 0.1326 0.1370 0.2179 0.1693 0.0202 0.0019 50
48.500 0.3283 0.1296 0.1358 0.2185 0.1674 0.0185 0.0019 50
49.500 0.3307 0.1260 0.1353 0.2186 0.1679 0.0196 0.0019 50
50.500 0.3303 0.1234 0.1343 0.2191 0.1738 0.0172 0.0019 50
51.500 0.3286 0.1249 0.1328 0.2168 0.1752 0.0199 0.0019 50
52.500 0.3305 0.1263 0.1316 0.2167 0.1728 0.0202 0.0019 50
53.500 0.3343 0.1257 0.1335 0.2099 0.1733 0.0214 0.0019 50
54.500 0.3332 0.1257 0.1328 0.2150 0.1709 0.0206 0.0019 50
55.500 0.3337 0.1284 0.1306 0.2141 0.1716 0.0197 0.0019 50
56.500 0.3322 0.1258 0.1359 0.2143 0.1695 0.0205 0.0019 50
57.500 0.3354 0.1240 0.1331 0.2151 0.1682 0.0222 0.0019 50
58.500 0.3340 0.1239 0.1354 0.2135 0.1702 0.0212 0.0019 50
59.500 0.3381 0.1216 0.1353 0.2131 0.1694 0.0206 0.0019 50
60.500 0.3381 0.1214 0.1356 0.2150 0.1677 0.0204 0.0019 50
61.500 0.3331 0.1270 0.1340 0.2135 0.1698 0.0208 0.0019 50
62.500 0.3440 0.1184 0.1324 0.2147 0.1681 0.0206 0.0019 50
63.500 0.3410 0.1231 0.1290 0.2151 0.1679 0.0219 0.0019 50
64.500 0.3401 0.1261 0.1309 0.2181 0.1640 0.0189 0.0019 50
65.500 0.3395 0.1243 0.1341 0.2134 0.1660 0.0209 0.0019 50
66.500 0.3410 0.1251 0.1302 0.2142 0.1672 0.0204 0.0019 50
67.500 0.3378 0.1251 0.1325 0.2141 0.1682 0.0205 0.0019 50
68.500 0.3374 0.1238 0.1340 0.2135 0.1676 0.0219 0.0019 50
69.500 0.3330 0.1272 0.1351 0.2120 0.1699 0.0209 0.0019 50
70.500 0.3387 0.1234 0.1317 0.2144 0.1685 0.0213 0.0019 50
71.500 0.3402 0.1172 0.1371 0.2155 0.1681 0.0200 0.0019 50
72.500 0.3424 0.1182 0.1349 0.2164 0.1661 0.0201 0.0019 50
73.500 0.3385 0.1215 0.1360 0.2176 0.1656 0.0190 0.0019 50
74.500 0.3414 0.1179 0.1359 0.2148 0.1681 0.0200 0.0019 50
75.500 0.3405 0.1213 0.1322 0.2171 0.1685 0.0185 0.0019 50
76.500 0.3428 0.1209 0.1313 0.2184 0.1662 0.0185 0.0019 50
77.500 0.3469 0.1206 0.1311 0.2211 0.1604 0.0181 0.0019 50
78.500 0.3438 0.1186 0.1349 0.2162 0.1656 0.0191 0.0019 50
79.500 0.3441 0.1241 0.1294 0.2178 0.1647 0.0179 0.0019 50
80.500 0.3454 0.1227 0.1289 0.2165 0.1643 0.0203 0.0019 50
81.500 0.3460 0.1237 0.1301 0.2197 0.1587 0.0199 0.0019 50
82.500 0.3469 0.1193 0.1316 0.2213 0.1591 0.0199 0.0019 50
83.500 0.3403 0.1235 0.1303 0.2156 0.1672 0.0212 0.0019 50
84.500 0.3428 0.1241 0.1290 0.2160 0.1651 0.0212 0.0019 50
85.500 0.3363 0.1275 0.1307 0.2178 0.1668 0.0190 0.0019 50
86.500 0.3381 0.1269 0.1295 0.2189 0.1664 0.0184 0.0019 50
87.500 0.3401 0.1241 0.1308 0.2203 0.1635 0.0195 0.0019 50
88.500 0.3402 0.1257 0.1288 0.2206 0.1625 0.0204 0.0019 50
89.500 0.3388 0.1264 0.1273 0.2204 0.1654 0.0199 0.0019 50
90.500 0.3353 0.1246 0.1316 0.2219 0.1647 0.0200 0.0019 50
91.500 0.3338 0.1287 0.1301 0.2245 0.1615 0.0196 0.0019 50
92.500 0.3377 0.1266 0.1285 0.2236 0.1618 0.0200 0.0019 50
93.500 0.3371 0.1247 0.1299 0.2197 0.1672 0.0196 0.0019 50
94.500 0.3321 0.1329 0.1302 0.2166 0.1656 0.0207 0.0019 50
95.500 0.3302 0.1310 0.1340 0.2187 0.1641 0.0200 0.0019 50
96.500 0.3288 0.1326 0.1352 0.2144 0.1652 0.0219 0.0019 50
97.500 0.3265 0.1343 0.1316 0.2182 0.1677 0.0198 0.0019 50
