time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
0.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
1.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
2.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
3.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
4.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
5.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
6.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
7.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
8.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
9.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
10.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
11.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
12.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
13.500 0.0457 0.5229 0.0000 0.4314 0.0000 0.0000 0.0000 50
14.500 0.0000 0.5629 0.0057 0.4314 0.0000 0.0000 0.0000 50
15.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
16.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
17.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
18.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
19.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
20.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
21.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
22.500 0.0114 0.5486 0.0086 0.4314 0.0000 0.0000 0.0000 50
23.500 0.0000 0.5686 0.0029 0.4286 0.0000 0.0000 0.0000 50
24.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
25.500 0.0000 0.5714 0.0000 0.4286 0.0000 0.0000 0.0000 50
26.500 0.4171 0.1314 0.0114 0.4400 0.0000 0.0000 0.0000 50
27.500 0.4629 0.0657 0.0057 0.4657 0.0000 0.0000 0.0000 50
28.500 0.4371 0.1086 0.0143 0.4400 0.0000 0.0000 0.0000 50
29.500 0.2229 0.3200 0.0171 0.4400 0.0000 0.0000 0.0000 50
30.500 0.3143 0.2343 0.0171 0.4343 0.0000 0.0000 0.0000 50
31.500 0.2657 0.2400 0.0229 0.4714 0.0000 0.0000 0.0000 50
32.500 0.3771 0.1743 0.0114 0.4371 0.0000 0.0000 0.0000 50
33.500 0.4114 0.1314 0.0200 0.4371 0.0000 0.0000 0.0000 50
34.500 0.4486 0.1086 0.0000 0.4429 0.0000 0.0000 0.0000 50
35.500 0.4086 0.1314 0.0114 0.4486 0.0000 0.0000 0.0000 50
