time_ns,rmsd_peptide_nm,rmsd_ache_nm,rmsd_complex_nm
0.0000,0.015131,0.015132,0.015132
0.0400,0.053507,0.084920,0.085261
0.0600,0.040318,0.098359,0.098001
0.0800,0.054555,0.094069,0.094320
0.1000,0.048901,0.108626,0.108416
0.1200,0.048994,0.108626,0.108416
0.1400,0.056783,0.098146,0.098223
0.1600,0.052428,0.106423,0.106528
0.1800,0.051143,0.104130,0.104361
0.2000,0.055362,0.100072,0.100028
0.2200,0.042096,0.110450,0.110079
0.2400,0.060151,0.103759,0.103601
0.2600,0.056694,0.110332,0.110044
0.2800,0.055603,0.102696,0.102442
0.3000,0.050106,0.106155,0.105760
0.3200,0.067824,0.106038,0.106434
0.3400,0.058732,0.106038,0.105857
0.3800,0.067813,0.111780,0.111467
0.4000,0.054434,0.111780,0.111467
0.4200,0.059466,0.102654,0.102668
0.4800,0.078657,0.122915,0.122717
0.5400,0.052030,0.103843,0.103732
0.5600,0.060874,0.103843,0.103732
0.5800,0.048277,0.113755,0.113626
0.6000,0.061887,0.110036,0.109759
0.6200,0.051881,0.115698,0.115290
0.6400,0.070956,0.113064,0.113165
0.6600,0.063420,0.110375,0.110159
0.6800,0.046982,0.120760,0.120623
0.7000,0.056437,0.120760,0.120623
0.7200,0.051038,0.116558,0.116261
0.7800,0.068488,0.118319,0.118116
0.8200,0.053341,0.137234,0.136793
0.8400,0.065806,0.137234,0.136793
0.8600,0.063019,0.126603,0.126447
0.9000,0.046273,0.132050,0.131549
0.9200,0.055083,0.125368,0.124838
0.9400,0.051822,0.128111,0.127631
0.9600,0.053584,0.126508,0.126190
0.9800,0.059576,0.126508,0.126190
1.0000,0.053888,0.126508,0.126190
1.0400,0.071740,0.113325,0.113152
1.0800,0.049353,0.128469,0.128181
1.1200,0.062957,0.112224,0.112094
1.1400,0.050568,0.112224,0.112094
1.2000,0.067645,0.120041,0.119771
1.2400,0.055419,0.118749,0.118475
1.2600,0.055852,0.129575,0.129145
1.3000,0.068119,0.122377,0.122394
1.3600,0.057839,0.125345,0.132276
1.3800,0.070548,0.118635,0.118262
1.4000,0.047007,0.118635,0.118262
1.4200,0.061956,0.125254,0.124899
1.4400,0.060839,0.115924,0.115598
1.4600,0.064263,0.115924,0.115598
1.4800,0.076407,0.127905,0.127765
1.5200,0.057783,0.128373,0.127990
1.5400,0.059871,0.123544,0.123321
1.5600,0.053433,0.123544,0.123321
1.6000,0.075894,0.137157,0.136750
1.6200,0.052123,0.125640,0.125548
1.6400,0.065590,0.130971,0.130554
1.6600,0.069374,0.124266,0.124141
1.6800,0.068383,0.124266,0.124141
1.7000,0.057214,0.144404,0.143881
1.7200,0.060111,0.144404,0.143881
1.7800,0.071463,0.124518,0.124253
1.8000,0.055286,0.111943,0.111706
1.8200,0.071494,0.111943,0.111706
1.8400,0.070370,0.120946,0.120728
1.9000,0.058663,0.133109,0.132680
1.9200,0.063060,0.118099,0.117946
1.9400,0.073905,0.123839,0.123461
1.9600,0.054626,0.121243,0.120917
1.9800,0.066079,0.125477,0.125357
2.0000,0.061480,0.124544,0.124584
2.0200,0.070100,0.119819,0.119540
2.0600,0.060580,0.132325,0.131868
2.0800,0.064791,0.132325,0.131868
2.1000,0.060833,0.123257,0.122995
2.1200,0.066004,0.123257,0.122995
2.1400,0.058246,0.126306,0.126144
2.1600,0.073713,0.115652,0.115343
2.1800,0.059737,0.115652,0.115343
2.2000,0.070213,0.116078,0.115939
2.2200,0.064450,0.116078,0.115939
2.2400,0.058839,0.125917,0.125949
2.2800,0.064723,0.117661,0.109402
2.3000,0.061287,0.109549,0.109402
2.3200,0.067171,0.124990,0.115040
2.3600,0.052544,0.123417,0.123322
2.4000,0.058056,0.130157,0.129673
2.4600,0.047591,0.114792,0.114655
2.4800,0.070345,0.115317,0.115563
2.5000,0.043179,0.117757,0.118041
2.5200,0.051363,0.125079,0.124646
2.5400,0.059822,0.116486,0.116345
2.5600,0.044597,0.119921,0.119654
2.5800,0.047991,0.119921,0.119654
2.6000,0.045836,0.116081,0.115806
2.6200,0.046216,0.116081,0.115806
2.6800,0.057733,0.138206,0.137804
2.7000,0.041636,0.138206,0.137804
2.7200,0.051785,0.138206,0.137804
2.7400,0.040984,0.138206,0.137804
2.7800,0.058020,0.138206,0.137804
2.8000,0.054401,0.119536,0.119207
2.8200,0.044217,0.119536,0.119207
2.8400,0.050013,0.120167,0.119915
2.8600,0.045196,0.135119,0.134586
2.8800,0.048779,0.135119,0.134586
2.9000,0.046665,0.135448,0.134910
2.9200,0.048691,0.135448,0.134910
2.9800,0.065777,0.133214,0.132913
3.0200,0.045639,0.126079,0.125753
3.0800,0.075474,0.133700,0.133293
3.1000,0.070809,0.119195,0.119092
3.1400,0.047674,0.126522,0.126130
3.1600,0.068265,0.127720,0.127485
3.1800,0.058552,0.143688,0.143259
3.2000,0.068840,0.135441,0.135359
3.2200,0.057374,0.130444,0.130215
3.2600,0.077152,0.141336,0.140795
3.2800,0.068858,0.141336,0.140795
3.3000,0.075837,0.159130,0.158623
3.3200,0.056015,0.150424,0.149872
3.3400,0.069452,0.133303,0.132958
3.3800,0.054793,0.133569,0.133278
3.4000,0.074830,0.133747,0.133451
3.4200,0.046244,0.136342,0.135972
3.4400,0.053601,0.136153,0.135972
3.4600,0.048057,0.136153,0.135972
3.5200,0.059244,0.129108,0.128694
3.5400,0.049464,0.126084,0.125691
3.5800,0.060866,0.132042,0.131634
3.6000,0.057924,0.118537,0.118522
3.6200,0.061647,0.118537,0.118522
3.6400,0.054096,0.118537,0.118522
3.6600,0.073501,0.118537,0.118522
3.7000,0.045648,0.151006,0.150345
3.7400,0.066943,0.151006,0.150345
3.7600,0.059492,0.151006,0.150345
3.8000,0.041590,0.140239,0.139761
3.8200,0.061114,0.140239,0.139761
3.8400,0.060305,0.129717,0.129421
3.8600,0.061441,0.129717,0.129421
3.9200,0.045192,0.137792,0.137283
3.9600,0.055724,0.137927,0.137426
4.0000,0.049670,0.139152,0.138785
4.0600,0.060547,0.133066,0.132847
4.1000,0.049763,0.137549,0.137420
4.1400,0.074708,0.136976,0.136692
4.1600,0.069745,0.136976,0.136692
4.1800,0.049724,0.124024,0.123900
4.2000,0.057125,0.124024,0.123900
4.2600,0.045911,0.127328,0.132763
4.3200,0.069044,0.144414,0.135058
4.3600,0.053470,0.144414,0.138102
4.3800,0.053771,0.144414,0.144446
