system,metric,mean,std,full_traj_mean,full_traj_std,min,max,status,n_points
Complex,1_Backbone_RMSD_(nm),0.19161963386613387,0.009177993604274409,0.1666940704259148,0.02249834289077425,6e-07,0.2202411,STABLE (稳定收敛),1001
AChE,1_Backbone_RMSD_(nm),0.1883167964035964,0.009258239791085945,0.16527816060787842,0.02155282979657569,6e-07,0.2169023,STABLE (稳定收敛),1001
Peptide,1_Backbone_RMSD_(nm),0.25179436943056943,0.013635208174929516,0.16316586300739852,0.08665192587873848,4e-07,0.2989687,INDUCED_FIT_3PHASE (三段诱导契合: 初态/亚稳态/终态),1001
Peptide,1b_Peptide_RMSD_Phase1_(nm),0.0432,0.0091,0.0432,0.0091,0.0432,0.0432,"INITIAL_BOUND (0.0-22.9 ns, n=1145)",1145
Peptide,1b_Peptide_RMSD_Phase2_(nm),0.1283,0.0193,0.1283,0.0193,0.1283,0.1283,"METASTABLE_REARRANGE (22.9-56.8 ns, n=1695)",1695
Peptide,1b_Peptide_RMSD_Phase3_(nm),0.254,0.0143,0.254,0.0143,0.254,0.254,"EQUILIBRATED_BOUND (56.8-100.0 ns, n=2161)",2161
Peptide,1c_Ligand_RMSD_fit_to_AChE_(nm),0.3626525476523476,0.03262073243861328,0.23901726972605478,0.10169252414814951,6e-07,0.4558797,LIGAND_POSE (叠合受体后的配体 RMSD),1001
AChE,2_Backbone_RMSF_Avg_(nm),0.08649207547169811,0.057330026685563744,0.08649207547169811,0.057330026685563744,0.0332,0.6025,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",530
Peptide,2_Backbone_RMSF_Avg_(nm),0.09105714285714285,0.05381167336625196,0.09105714285714285,0.05381167336625196,0.0426,0.2077,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",7
Complex,5_RDF_First_Peak_g(r),213.318939,1.22,213.318939,0.0,0.0,213.318939,Peak at r=1.22 nm,193
Complex,3_Solvent_Accessible_Surface_Area_SASA_(nm2),217.4674545454545,2.493985374091399,214.71876704659067,3.3749502946149996,201.18,224.648,STABLE (稳定收敛),1001
AChE,3_Solvent_Accessible_Surface_Area_SASA_(nm2),221.5957952047952,2.5292238060355547,219.42470185962804,3.1824622084943175,207.299,229.074,STABLE (稳定收敛),1001
Peptide,3_Solvent_Accessible_Surface_Area_SASA_(nm2),11.514225774225775,0.32000479836250123,11.22675304939012,0.54967038086766,9.516,12.874,STABLE (稳定收敛),1001
Complex,6_DSSP_Helix_Fraction_(%),33.65741258741259,1.047499307208077,34.279886022795445,1.0858354787934394,30.04,37.69,PER_FRAME_DSSP (n=5001 frames),5001
Complex,6_DSSP_Turn_Fraction_(%),12.567852147852149,1.1310305398696723,12.312581483703257,1.1813568785972706,8.4,16.6,PER_FRAME_DSSP (n=5001 frames),5001
Complex,6_DSSP_Bend_Fraction_(%),12.828891108891108,0.7950689713042972,12.841591681663669,0.8738276180361998,9.89,16.79,PER_FRAME_DSSP (n=5001 frames),5001
Complex,6_DSSP_Coil_Fraction_(%),21.483476523476526,0.8723797921194064,20.90960207958408,1.0240958849774224,17.349999999999998,24.63,PER_FRAME_DSSP (n=5001 frames),5001
Complex,7_Intermolecular_Contact_Pairs_(count),7.0,0.0,7.0,0.0,7.0,7.0,7 contact pairs identified,7
Complex,4_Hydrogen_Bonds_(Count),2.1888111888111887,0.8045586897888085,3.882023595280944,1.8109883445906145,0.0,11.0,STABLE (稳定收敛),1001
Peptide,4_Hydrogen_Bonds_(Count),1.1288711288711288,0.8604508262391388,1.4703059388122375,0.9528735941260748,0.0,5.0,STABLE (稳定收敛),1001
AChE,4_Hydrogen_Bonds_(Count),394.2997002997003,9.441614793566306,393.6000799840032,10.080120633881348,358.0,428.0,STABLE (稳定收敛),1001
