metric,AChE,Complex,Peptide
1_Backbone_RMSD_(nm),0.1883167964035964,0.19161963386613387,0.25179436943056943
1b_Peptide_RMSD_Phase1_(nm),-,-,0.0432
1b_Peptide_RMSD_Phase2_(nm),-,-,0.1283
1b_Peptide_RMSD_Phase3_(nm),-,-,0.254
1c_Ligand_RMSD_fit_to_AChE_(nm),-,-,0.3626525476523476
2_Backbone_RMSF_Avg_(nm),0.08649207547169811,-,0.09105714285714285
3_Solvent_Accessible_Surface_Area_SASA_(nm2),221.5957952047952,217.4674545454545,11.514225774225775
4_Hydrogen_Bonds_(Count),394.2997002997003,2.1888111888111887,1.1288711288711288
5_RDF_First_Peak_g(r),-,213.318939,-
6_DSSP_Bend_Fraction_(%),-,12.828891108891108,-
6_DSSP_Coil_Fraction_(%),-,21.483476523476526,-
6_DSSP_Helix_Fraction_(%),-,33.65741258741259,-
6_DSSP_Turn_Fraction_(%),-,12.567852147852149,-
7_Intermolecular_Contact_Pairs_(count),-,7.0,-
