time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
0.500 0.3510 0.1265 0.1213 0.2071 0.1722 0.0200 0.0019 50
1.500 0.3507 0.1235 0.1260 0.2056 0.1730 0.0193 0.0019 50
2.500 0.3455 0.1294 0.1230 0.2030 0.1751 0.0221 0.0019 50
3.500 0.3454 0.1252 0.1262 0.2054 0.1729 0.0229 0.0019 50
4.500 0.3425 0.1314 0.1238 0.2055 0.1739 0.0210 0.0019 50
5.500 0.3495 0.1227 0.1259 0.2052 0.1744 0.0203 0.0019 50
6.500 0.3534 0.1188 0.1277 0.2026 0.1737 0.0221 0.0019 50
7.500 0.3473 0.1273 0.1240 0.1999 0.1746 0.0251 0.0019 50
8.500 0.3449 0.1303 0.1209 0.2025 0.1750 0.0246 0.0019 50
9.500 0.3512 0.1236 0.1229 0.2004 0.1738 0.0263 0.0019 50
10.500 0.3466 0.1259 0.1258 0.2014 0.1722 0.0261 0.0019 50
11.500 0.3448 0.1222 0.1317 0.1965 0.1744 0.0284 0.0019 50
12.500 0.3470 0.1206 0.1313 0.2003 0.1757 0.0233 0.0019 50
13.500 0.3433 0.1227 0.1324 0.2003 0.1753 0.0241 0.0019 50
14.500 0.3391 0.1310 0.1282 0.2011 0.1730 0.0257 0.0019 50
15.500 0.3420 0.1263 0.1290 0.2035 0.1721 0.0251 0.0019 50
16.500 0.3469 0.1222 0.1268 0.2048 0.1709 0.0266 0.0019 50
17.500 0.3441 0.1260 0.1259 0.2064 0.1732 0.0226 0.0019 50
18.500 0.3427 0.1284 0.1288 0.2040 0.1719 0.0225 0.0019 50
19.500 0.3436 0.1278 0.1276 0.2052 0.1713 0.0226 0.0019 50
20.500 0.3437 0.1273 0.1307 0.2013 0.1721 0.0231 0.0019 50
21.500 0.3415 0.1308 0.1281 0.2007 0.1738 0.0233 0.0019 50
22.500 0.3381 0.1312 0.1291 0.2036 0.1722 0.0238 0.0019 50
23.500 0.3412 0.1283 0.1304 0.2009 0.1726 0.0247 0.0019 50
24.500 0.3401 0.1269 0.1353 0.1997 0.1715 0.0246 0.0019 50
25.500 0.3450 0.1269 0.1292 0.2012 0.1709 0.0249 0.0019 50
26.500 0.3504 0.1243 0.1260 0.2083 0.1694 0.0197 0.0019 50
27.500 0.3460 0.1280 0.1250 0.2093 0.1700 0.0199 0.0019 50
28.500 0.3459 0.1265 0.1267 0.2081 0.1694 0.0214 0.0019 50
29.500 0.3470 0.1240 0.1232 0.2090 0.1735 0.0213 0.0019 50
30.500 0.3472 0.1268 0.1213 0.2102 0.1701 0.0225 0.0019 50
