system,metric,mean,std,full_traj_mean,full_traj_std,min,max,status,n_points
Complex,1_Backbone_RMSD_(nm),0.21020490000000003,0.008693922564001817,0.191328424655069,0.020812838580095135,9e-07,0.2400241,STABLE,1001
AChE,1_Backbone_RMSD_(nm),0.19088617362637364,0.00769393477243366,0.1766641272945411,0.01617255284794643,1.3e-06,0.2197869,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),1001
Peptide,1_Backbone_RMSD_(nm),0.26966416163836165,0.021711701296456876,0.22585387330533896,0.044898222458012414,5e-07,0.3216305,TABLE_ONLY (see peptide_rmsd_jump_diagnosis.txt; not on fig0),1001
Complex,2_Backbone_RMSF_Avg_(nm),0.09011992551210428,0.06442673058154726,0.09011992551210428,0.06442673058154726,0.0356,0.6025,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",537
AChE,2_Backbone_RMSF_Avg_(nm),0.08700245283018868,0.05838085158167329,0.08700245283018868,0.05838085158167329,0.0353,0.6014,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),530
Peptide,2_Backbone_RMSF_Avg_(nm),0.14959999999999998,0.0636855033216613,0.14959999999999998,0.0636855033216613,0.0869,0.2531,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",7
Complex,5_RDF_First_Peak_g(r),43.631813,2.16,43.631813,0.0,0.0,43.631813,Peak at r=2.16 nm,193
Complex,3_Solvent_Accessible_Surface_Area_SASA_(nm2),216.34153246753246,2.552997128316991,214.74532093581286,3.028455974053382,202.994,225.286,STABLE,1001
AChE,3_Solvent_Accessible_Surface_Area_SASA_(nm2),217.5612197802198,2.4621259796461143,216.32829354129177,2.895699597992906,203.807,227.783,TABLE_ONLY (AChE part of complex; drawn in compare_* figures),1001
Peptide,3_Solvent_Accessible_Surface_Area_SASA_(nm2),11.467018981018981,0.3396261925107669,11.558631073785243,0.4035908993847931,10.06,12.822,TABLE_ONLY (peptide SASA; complex-only curves on figure),1001
Complex,6_DSSP_Helix_Content_(%),33.86880119880119,0.9622029730979642,34.02305938812238,0.9984902594779509,30.220000000000002,37.87,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Sheet_Content_(%),17.11258741258741,0.6594946539596799,17.077278544291143,0.6868486967284423,13.99,19.400000000000002,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Turn_Content_(%),12.197172827172826,1.0949028719940865,12.253959208158369,1.068609864045664,8.21,16.6,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Bend_Content_(%),12.978031968031969,0.8063426213322862,13.02015196960608,0.7961652195999394,10.63,15.86,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Coil_Content_(%),23.84340659340659,0.7172938613403032,23.625550889822033,0.7602990342356791,20.139999999999986,26.680000000000003,DSSP_PERCENT (n=5001 frames),5001
Peptide,6p_Peptide_DSSP_Helix_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Sheet_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Coil_(%),92.22333666333667,9.706551738673445,91.07708058388322,9.598380175597596,66.67,100.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Complex,7_Intermolecular_Contact_Pairs_(count),7.0,0.0,7.0,0.0,7.0,7.0,7 contact pairs identified,7
Complex,4_Hydrogen_Bonds_(Count),2.796203796203796,0.9911738366328962,2.895620875824835,1.1006828877729005,0.0,7.0,STABLE,1001
Peptide,4_Hydrogen_Bonds_(Count),2.4455544455544453,0.6657948011833024,2.221755648870226,0.9118193884101041,0.0,6.0,STABLE,1001
AChE,4_Hydrogen_Bonds_(Count),395.1978021978022,8.601094998012465,396.8594281143771,9.535535411967247,366.0,427.0,TABLE_ONLY (intra-AChE; complex-focused figures only),1001
Complex,8_Radius_of_Gyration_Rg_(nm),2.316305536463536,0.005916863715763535,2.311011094381124,0.00674941526396847,2.28087,2.333881,STABLE,1001
AChE,8_Radius_of_Gyration_Rg_(nm),2.3171606663336664,0.0058346318883504104,2.31386151229754,0.005972152136432794,2.285902,2.333844,STABLE,1001
