time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
0.500 0.3401 0.1276 0.1271 0.2097 0.1736 0.0199 0.0019 50
1.500 0.3369 0.1278 0.1258 0.2135 0.1752 0.0189 0.0019 50
2.500 0.3343 0.1296 0.1262 0.2149 0.1737 0.0196 0.0019 50
3.500 0.3350 0.1216 0.1327 0.2160 0.1716 0.0212 0.0019 50
4.500 0.3371 0.1184 0.1336 0.2171 0.1703 0.0217 0.0019 50
5.500 0.3353 0.1209 0.1332 0.2151 0.1719 0.0217 0.0019 50
6.500 0.3334 0.1234 0.1341 0.2147 0.1710 0.0215 0.0019 50
7.500 0.3377 0.1188 0.1356 0.2122 0.1706 0.0233 0.0019 50
8.500 0.3397 0.1194 0.1365 0.2057 0.1709 0.0259 0.0019 50
9.500 0.3380 0.1226 0.1318 0.2106 0.1715 0.0236 0.0019 50
10.500 0.3411 0.1201 0.1310 0.2086 0.1741 0.0233 0.0019 50
11.500 0.3446 0.1192 0.1294 0.2119 0.1705 0.0224 0.0019 50
12.500 0.3412 0.1204 0.1321 0.2119 0.1705 0.0219 0.0019 50
13.500 0.3404 0.1228 0.1310 0.2107 0.1728 0.0203 0.0019 50
14.500 0.3370 0.1226 0.1345 0.2138 0.1715 0.0186 0.0019 50
15.500 0.3401 0.1219 0.1314 0.2151 0.1712 0.0184 0.0019 50
16.500 0.3392 0.1256 0.1293 0.2146 0.1706 0.0188 0.0019 50
17.500 0.3392 0.1267 0.1252 0.2138 0.1737 0.0196 0.0019 50
18.500 0.3427 0.1278 0.1243 0.2089 0.1746 0.0199 0.0019 50
19.500 0.3423 0.1243 0.1273 0.2083 0.1762 0.0198 0.0019 50
20.500 0.3403 0.1271 0.1259 0.2094 0.1764 0.0191 0.0019 50
21.500 0.3462 0.1192 0.1251 0.2136 0.1761 0.0179 0.0019 50
22.500 0.3434 0.1243 0.1236 0.2152 0.1729 0.0187 0.0019 50
23.500 0.3437 0.1202 0.1263 0.2156 0.1740 0.0183 0.0019 50
24.500 0.3412 0.1258 0.1263 0.2109 0.1746 0.0193 0.0019 50
25.500 0.3459 0.1182 0.1272 0.2145 0.1716 0.0206 0.0019 50
26.500 0.3430 0.1197 0.1303 0.2208 0.1648 0.0196 0.0019 50
27.500 0.3392 0.1220 0.1297 0.2201 0.1682 0.0189 0.0019 50
28.500 0.3411 0.1210 0.1294 0.2212 0.1670 0.0185 0.0019 50
