system,metric,mean,std,full_traj_mean,full_traj_std,min,max,status,n_points
Complex,1_Backbone_RMSD_(nm),0.206430494005994,0.013649218824439879,0.16240828336332733,0.03143829894474618,8e-07,0.2398008,STABLE,1001
AChE,1_Backbone_RMSD_(nm),0.2048824,0.01379531121540213,0.16010539210157967,0.03158862094906514,8e-07,0.2388006,STABLE,1001
Peptide,1_Backbone_RMSD_(nm),0.19787201488511486,0.014334271039849513,0.15685786118776246,0.04401619400140828,5e-07,0.2364895,TABLE_ONLY (see peptide_rmsd_jump_diagnosis.txt; not on fig0),1001
AChE,2_Backbone_RMSF_Avg_(nm),0.08041283018867926,0.05618124653898598,0.08041283018867926,0.05618124653898598,0.0336,0.6937,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",530
Peptide,2_Backbone_RMSF_Avg_(nm),0.10255714285714286,0.03871015616703438,0.10255714285714286,0.03871015616703438,0.0762,0.1712,"PER_RESIDUE_FLEXIBILITY (逐残基柔性, 非时间序列)",7
Complex,5_RDF_First_Peak_g(r),171.580795,1.66,171.580795,0.0,0.0,171.580795,Peak at r=1.66 nm,193
Complex,3_Solvent_Accessible_Surface_Area_SASA_(nm2),210.36971828171826,2.9083156538717465,210.03355208958212,3.260205382630996,200.699,220.097,STABLE,1001
AChE,3_Solvent_Accessible_Surface_Area_SASA_(nm2),214.00273526473526,2.962356463163264,213.5206716656669,3.1619808086348367,204.889,224.201,STABLE,1001
Peptide,3_Solvent_Accessible_Surface_Area_SASA_(nm2),12.569143856143857,0.31715473713112846,12.748750849830035,0.4324539105058224,11.439,14.341,STABLE,1001
Complex,6_DSSP_Helix_Content_(%),32.91918081918081,1.055798905223778,33.30958608278344,1.2177763376902477,28.92,37.31,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Sheet_Content_(%),17.08397602397602,0.6119793913397531,17.156664667066586,0.6899505151308559,14.180000000000001,19.220000000000002,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Turn_Content_(%),12.945964035964037,1.087021110515014,13.12885222955409,1.204548082211552,8.77,17.54,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Bend_Content_(%),13.064105894105897,0.7980921154699027,12.961899620075986,0.9087322767030207,9.51,16.79,DSSP_PERCENT (n=5001 frames),5001
Complex,6_DSSP_Coil_Content_(%),23.98677322677322,0.750828261004123,23.442997400519893,0.8406529330188762,20.709999999999994,26.84999999999999,DSSP_PERCENT (n=5001 frames),5001
Peptide,6p_Peptide_DSSP_Helix_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Sheet_(%),0.0,0.0,0.0,0.0,0.0,0.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Peptide,6p_Peptide_DSSP_Coil_(%),98.60111888111888,4.624266682064644,95.70339932013597,7.53916587709221,66.67,100.0,PEPTIDE_DSSP_SUPPLEMENT,5001
Complex,7_Intermolecular_Contact_Pairs_(count),7.0,0.0,7.0,0.0,7.0,7.0,7 contact pairs identified,7
Complex,4_Hydrogen_Bonds_(Count),4.230769230769231,1.2448663814612015,3.8026394721055787,1.4140866422512988,0.0,9.0,STABLE,1001
Peptide,4_Hydrogen_Bonds_(Count),2.2617382617382615,0.7137398513636324,1.7150569886022795,0.818652088345023,0.0,4.0,STABLE,1001
AChE,4_Hydrogen_Bonds_(Count),393.3916083916084,9.081216301272054,392.7794441111778,9.884692477306807,360.0,425.0,STABLE,1001
Complex,8_Radius_of_Gyration_Rg_(nm),2.3003958901098898,0.0051422353224946935,2.3033831553689263,0.006739527979974239,2.282288,2.326171,STABLE,1001
AChE,8_Radius_of_Gyration_Rg_(nm),2.307130474525475,0.005121629984253112,2.310367830433913,0.006708589501023423,2.28932,2.332996,STABLE,1001
