metric,AChE,Complex,Peptide
1_Backbone_RMSD_(nm),0.2048824,0.206430494005994,0.19787201488511486
2_Backbone_RMSF_Avg_(nm),0.08041283018867926,0.0813413407821229,0.10255714285714286
3_Solvent_Accessible_Surface_Area_SASA_(nm2),214.00273526473526,210.36971828171826,12.569143856143857
4_Hydrogen_Bonds_(Count),393.3916083916084,4.230769230769231,2.2617382617382615
5_RDF_First_Peak_g(r),-,171.580795,-
6_DSSP_Bend_Content_(%),-,13.064105894105897,-
6_DSSP_Coil_Content_(%),-,23.98677322677322,-
6_DSSP_Helix_Content_(%),-,32.91918081918081,-
6_DSSP_Sheet_Content_(%),-,17.08397602397602,-
6_DSSP_Turn_Content_(%),-,12.945964035964037,-
6p_Peptide_DSSP_Coil_(%),-,-,98.60111888111888
6p_Peptide_DSSP_Helix_(%),-,-,0.0
6p_Peptide_DSSP_Sheet_(%),-,-,0.0
7_Intermolecular_Contact_Pairs_(count),-,7.0,-
8_Radius_of_Gyration_Rg_(nm),2.307130474525475,2.3003958901098898,-
