time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
0.500 0.3502 0.1249 0.1224 0.2072 0.1693 0.0242 0.0019 50
1.500 0.3494 0.1287 0.1209 0.2079 0.1692 0.0219 0.0019 50
2.500 0.3523 0.1290 0.1182 0.2081 0.1676 0.0229 0.0019 50
3.500 0.3496 0.1314 0.1212 0.2102 0.1661 0.0196 0.0019 50
4.500 0.3508 0.1303 0.1212 0.2057 0.1706 0.0196 0.0019 50
5.500 0.3501 0.1322 0.1179 0.2054 0.1709 0.0216 0.0019 50
6.500 0.3407 0.1329 0.1275 0.2038 0.1710 0.0221 0.0019 50
7.500 0.3347 0.1429 0.1234 0.2012 0.1731 0.0229 0.0019 50
8.500 0.3393 0.1409 0.1211 0.2010 0.1695 0.0263 0.0019 50
9.500 0.3417 0.1371 0.1240 0.2087 0.1643 0.0222 0.0019 50
10.500 0.3449 0.1313 0.1245 0.2053 0.1700 0.0221 0.0019 50
11.500 0.3431 0.1340 0.1201 0.2068 0.1722 0.0219 0.0019 50
12.500 0.3416 0.1342 0.1193 0.2100 0.1709 0.0222 0.0019 50
13.500 0.3358 0.1368 0.1232 0.2091 0.1731 0.0202 0.0019 50
14.500 0.3337 0.1349 0.1275 0.2139 0.1687 0.0196 0.0019 50
15.500 0.3402 0.1295 0.1236 0.2161 0.1670 0.0217 0.0019 50
16.500 0.3346 0.1331 0.1272 0.2055 0.1759 0.0217 0.0019 50
17.500 0.3303 0.1348 0.1289 0.2098 0.1738 0.0206 0.0019 50
18.500 0.3362 0.1274 0.1291 0.2092 0.1739 0.0222 0.0019 50
19.500 0.3398 0.1299 0.1249 0.2086 0.1747 0.0202 0.0019 50
20.500 0.3363 0.1319 0.1257 0.2094 0.1729 0.0219 0.0019 50
21.500 0.3366 0.1305 0.1258 0.2099 0.1750 0.0204 0.0019 50
22.500 0.3374 0.1297 0.1268 0.2070 0.1755 0.0216 0.0019 50
23.500 0.3428 0.1249 0.1275 0.2041 0.1763 0.0225 0.0019 50
24.500 0.3368 0.1304 0.1241 0.2110 0.1726 0.0233 0.0019 50
25.500 0.3349 0.1294 0.1247 0.2122 0.1731 0.0238 0.0019 50
26.500 0.3401 0.1262 0.1298 0.2020 0.1769 0.0231 0.0019 50
27.500 0.3397 0.1213 0.1340 0.2013 0.1775 0.0244 0.0019 50
28.500 0.3333 0.1235 0.1327 0.2111 0.1743 0.0233 0.0019 50
29.500 0.3356 0.1268 0.1313 0.2065 0.1752 0.0228 0.0019 50
30.500 0.3400 0.1201 0.1365 0.2030 0.1753 0.0232 0.0019 50
31.500 0.3339 0.1293 0.1316 0.2032 0.1756 0.0245 0.0019 50
32.500 0.3353 0.1313 0.1297 0.2044 0.1740 0.0234 0.0019 50
33.500 0.3337 0.1336 0.1296 0.2067 0.1721 0.0225 0.0019 50
34.500 0.3298 0.1360 0.1277 0.2065 0.1744 0.0236 0.0019 50
35.500 0.3265 0.1361 0.1301 0.2111 0.1735 0.0209 0.0019 50
36.500 0.3257 0.1338 0.1344 0.2133 0.1701 0.0209 0.0019 50
37.500 0.3309 0.1256 0.1385 0.2142 0.1692 0.0197 0.0019 50
38.500 0.3266 0.1303 0.1376 0.2139 0.1701 0.0196 0.0019 50
39.500 0.3369 0.1257 0.1310 0.2141 0.1700 0.0204 0.0019 50
40.500 0.3273 0.1339 0.1340 0.2120 0.1704 0.0205 0.0019 50
41.500 0.3315 0.1320 0.1327 0.2092 0.1724 0.0203 0.0019 50
42.500 0.3329 0.1340 0.1311 0.2122 0.1685 0.0194 0.0019 50
43.500 0.3295 0.1385 0.1312 0.2105 0.1688 0.0196 0.0019 50
44.500 0.3257 0.1396 0.1321 0.2094 0.1734 0.0180 0.0019 50
45.500 0.3246 0.1390 0.1330 0.2075 0.1718 0.0224 0.0019 50
46.500 0.3308 0.1328 0.1348 0.2048 0.1743 0.0206 0.0019 50
47.500 0.3307 0.1377 0.1305 0.2050 0.1737 0.0204 0.0019 50
48.500 0.3279 0.1394 0.1306 0.2043 0.1735 0.0224 0.0019 50
49.500 0.3312 0.1255 0.1374 0.2073 0.1753 0.0214 0.0019 50
50.500 0.3295 0.1307 0.1373 0.2046 0.1762 0.0197 0.0019 50
